sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id
752,2,Attribute,,Project,Code,0..1,Char,Char Long,,The unique identifier assigned to a project.,Base,36,BS21_02
753,2,Attribute,,Project,Name,0..1,Name,Name Medium,,The designated title of a project within the context of operations and administration.,Base,36,BS21_03
754,2,Attribute,,Project,Beginning Date,0..1,Date,DATE,,The date on which a project is scheduled to start.,Base,36,BS21_04
755,2,Attribute,,Project,Ending Date,0..1,Date,DATE,,The date on which a project is scheduled to conclude.,Base,36,BS21_05
756,2,Attribute,,Project,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a project is currently ongoing and recognized within the operational scope.,Base,36,BS21_06
757,2,Reference Association,,Project,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,36,BS21_07
191,1,Class,,Bank Account,,,,,,A class includes details associated with a bank account.,Base,38,BS02
192,2,Attribute,PK,Bank Account,Number,1..1,Identifier,Identifier Medium,,"The unique number for an account within a financial institution, for which the use of ISO 13616-2 International Bank Account Number (IBAN) format is recommended when applicable.",Base,38,BS02_01
193,2,Attribute,,Bank Account,Name,0..1,Name,Name Medium,,The designated title of an account established at a financial institution such as a bank or settlement center.,Base,38,BS02_02
194,2,Attribute,,Bank Account,Bank Code,0..1,Code,BANK CODE,,"The unique identifier for a financial institution, compliant with ISO 9362 (Business Identifier Code, BIC) or ISO 17442 (Legal Entity Identifier, LEI), with ISO 17442 being preferred.",Base,38,BS02_03
195,2,Attribute,,Bank Account,Bank Name,0..1,Name,Name Medium,,"The official legal name of a financial institution, including banks and settlement centers.",Base,38,BS02_04
196,2,Attribute,,Bank Account,Branch Code,0..1,Code,BRANCH CODE,,The identifier assigned to a specific branch of a financial institution.,Base,38,BS02_05
197,2,Attribute,,Bank Account,Branch Name,0..1,Name,Name Long,,The official name of a branch of a financial institution.,Base,38,BS02_06
198,2,Attribute,,Bank Account,Branch Country Code,0..1,Code,COUNTRY CODE,,"The code indicating a financial institution's branch country, compliant with ISO 3166-1 standards.",Base,38,BS02_07
199,2,Attribute,,Bank Account,Branch Region,0..1,Name,Name Short,,"The regional area, such as a state or province, within a country where the branch is located.",Base,38,BS02_08
200,2,Attribute,,Bank Account,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a bank account is currently active and available for transactions.,Base,38,BS02_09
201,2,Reference Association,,Bank Account,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,38,BS02_10
936,1,Class,,Tax Regulatory,,,,,,"A class that includes regulatory information for taxation, offering instructions for compliance with tax laws in various jurisdictions.",Base,40,BS27
937,2,Attribute,PK,Tax Regulatory,Code,1..1,Identifier,REGULATOR CODE,,The unique code for a regulatory body or jurisdiction.,Base,40,BS27_01
938,2,Attribute,,Tax Regulatory,Country Code,0..1,Code,COUNTRY CODE,,"The code for the country in which the tax regulator operates, as per ISO 3166-1.",Base,40,BS27_02
939,2,Attribute,,Tax Regulatory,Region,0..1,Name,REGION,,The specific area within a country that falls under the jurisdiction of a tax regulator.,Base,40,BS27_03
940,2,Attribute,,Tax Regulatory,Name,0..1,Name,Name Medium,,The name of the entity responsible for tax regulation.,Base,40,BS27_04
941,2,Attribute,,Tax Regulatory,Role,0..1,Char,Char Short,,"The jurisdictional level at which the regulator operates, such as federal, regional, or local.",Base,40,BS27_05
942,2,Attribute,,Tax Regulatory,Regulator ID,0..1,Char,Char Short,,The identifier for the reporting organization as assigned by the tax regulator.,Base,40,BS27_06
943,2,Attribute,,Tax Regulatory,Active Indicator,0..1,Indicator,Indicator,,The binary indicator of whether a regulatory code is currently active.,Base,40,BS27_07
944,2,Reference Association,,Tax Regulatory,Reporting Organization,0..1,,,Business Segment,The class represents tax reporting entities within the auditee's organization.,Base,40,BS27_08
945,2,Reference Association,,Tax Regulatory,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,40,BS27_09
946,2,Reference Association,,Tax Regulatory,Accrual,0..1,,,Ledger Account,The ledger account used for recording accrued taxes as per regulatory requirements.,Base,40,BS27_10
947,2,Reference Association,,Tax Regulatory,Expense,0..1,,,Ledger Account,The ledger account used for recording tax expenses as per regulatory requirements.,Base,40,BS27_11
948,2,Reference Association,,Tax Regulatory,Payable,0..1,,,Ledger Account,The ledger account used for recording taxes payable as per regulatory requirements.,Base,40,BS27_12
949,1,Class,,Tax Type,,,,,,"A class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",Base,42,BS28
950,2,Attribute,PK,Tax Type,Code,1..1,Identifier,TAX TYPE CODE,,The unique code used to classify a tax type.,Base,42,BS28_01
951,2,Attribute,,Tax Type,Tax Name,0..1,Name,Name Medium,,The official title assigned to a category of tax.,Base,42,BS28_02
952,2,Attribute,,Tax Type,Description,0..1,Text,Text Medium,,The details that define and categorize a specific tax type.,Base,42,BS28_03
953,2,Attribute,,Tax Type,Tax Code Description,0..1,Text,Text Medium,,The narrative that clarifies the specific tax code and its application within the broader tax type.,Base,42,BS28_04
954,2,Attribute,,Tax Type,Tax Percentage,0..1,Decimal,Percent,,The standard rate applied to a specific tax type and code.,Base,42,BS28_05
955,2,Reference Association,,Tax Type,,0..*,,,Business Segment,The class represents the business unit associated with reporting activities within the auditee's organization.,Base,42,BS28_06
956,2,Reference Association,,Tax Type,,0..1,,,Tax Regulatory,"The class that holds regulatory information related to taxation, providing instructions for compliance with tax laws across different jurisdictions.",Base,42,BS28_07
282,1,Class,,Customized Account Segment,,,,,,The unique category within audit data services holds financial details that extend beyond standard account segments.,Base,44,BS11
283,2,Attribute,PK,Customized Account Segment,Code,1..1,Identifier,Identifier Medium,,The unique code for a non-standard account segment relevant to audit data.,Base,44,BS11_01
284,2,Attribute,,Customized Account Segment,Name,0..1,Name,Name Long,,The name for a non-standard account segment relevant to audit data.,Base,44,BS11_02
285,2,Attribute,,Customized Account Segment,Description,0..1,Text,Text Medium,,The detailed explanation of a customized account segment pertinent to audit requirements.,Base,44,BS11_03
286,2,Attribute,,Customized Account Segment,Customized Account Encoding Rule,0..1,Code,ENCODING RULE CODE,,"The structured format for the values within a customized account segment, often delineating hierarchical levels.",Base,44,BS11_04
287,2,Attribute,,Customized Account Segment,Hierarchy Indicator,0..1,Indicator,Indicator,,"The binary indicator that signifies whether an account segment value is part of a hierarchical arrangement, with '1' representing presence and '0' representing absence of hierarchy.",Base,44,BS11_05
288,2,Attribute,,Customized Account Segment,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a customized account segment is currently in use within the accounting system.,Base,44,BS11_06
289,1,Class,,Customized Account Value,,,,,,The unique code representing a value within a customized account segment.,Base,46,BS12
290,2,Attribute,PK,Customized Account Value,Code,1..1,Identifier,Identifier Medium,,The unique code representing a value within a customized account segment.,Base,46,BS12_01
291,2,Attribute,,Customized Account Value,Name,0..1,Name,Name Long,,The identifier for a specific value within an account segment.,Base,46,BS12_02
292,2,Attribute,,Customized Account Value,Description,0..1,Text,Text Medium,,The explanation of the significance or content of an account segment's value.,Base,46,BS12_03
293,2,Attribute,,Customized Account Value,Hierarchy,0..1,Identifier,HIERARCHY LEVEL,,The designated level within the hierarchical structure of customized account values.,Base,46,BS12_04
294,2,Reference Association,,Customized Account Value,,0..1,,,Customized Account Segment,The unique category within audit data services holds financial details that extend beyond standard account segments.,Base,46,BS12_05
295,1,Class,,Customized Account Value Hierarchy,,,,,,A class establishes the hierarchical relationships among individual customized account values.,Base,46,BS13
296,2,Reference Association,PK,Customized Account Value Hierarchy,Child,1..1,,,Customized Account Value,The specific value within a customized account value hierarchy that is subordinate to a parent value.,Base,46,BS13_01
297,2,Reference Association,PK,Customized Account Value Hierarchy,Parent,1..1,,,Customized Account Value,The specific value within a customized account value hierarchy that is superior to a child value.,Base,46,BS13_02
736,1,Class,,Profile,,,,,,"A class contains information on industry standards and software versions, profiling data such as fiscal years, developers, software names and versions, functional currencies, standards, and extraction dates.",Base,48,BS20
737,2,Attribute,PK,Profile,Number,1..1,Identifier,Identifier Short,,The unique number identifying a data collection instance.,Base,48,BS20_01
738,2,Attribute,,Profile,Name,0..1,Name,Name Short,,The title of a specific data collection profile.,Base,48,BS20_02
739,2,Attribute,,Profile,Fiscal Year,0..1,Identifier,YEAR,,"The year for which financial records are kept, expressed in four digits.",Base,48,BS20_03
740,2,Attribute,,Profile,Accounting Entity,0..1,Name,Name Short,,The recognized name of an organization as a distinct body for accounting purposes.,Base,48,BS20_04
741,2,Attribute,,Profile,Industry,0..1,Char,Char Short,,"The classification denoting the industry associated with a profile, within a broader sector categorization.",Base,48,BS20_05
742,2,Attribute,,Profile,Developer Name,0..1,Name,Name Long,,The organization that developed the accounting and/or ERP system software.,Base,48,BS20_06
743,2,Attribute,,Profile,Software Name,0..1,Name,Name Long,,The name of the accounting or ERP system software product in use.,Base,48,BS20_07
744,2,Attribute,,Profile,Software Version,0..1,Char,Char Short,,The version number of the accounting or ERP system software in use.,Base,48,BS20_08
745,2,Attribute,,Profile,Functional Currency Code,0..1,Identifier,CURRENCY CODE,,"The code representing the specific currency utilized for financial transactions and reporting within an organization's accounting and/or Enterprise Resource Planning (ERP) system, as specified by ISO 4217 standards.",Base,48,BS20_09
