seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,LocalLabel,LocalDocumentation
249,2,Attribute,,Detail_ Multicurrency,Cross Triangulation Exchange Rate Source,String,,0..1,"Source of Exchange Rate for converting between foreign currency and triangulation currency - for example, Reuters, Bloomberg",muc,換算通貨トライアンギュレーション通貨換算レート情報源,"外貨通貨とトライアンギュレーション通貨の間の換算レートの情報源。たとえば、Reuters, Bloomberg。"
250,2,Attribute,,Detail_ Multicurrency,Cross Triangulation Exchange Rate Type,String,,0..1,"Type of Exchange Rate for converting between foreign currency and triangulation currency - for example, spot rate, forward contract etc.",muc,換算通貨トライアンギュレーション通貨換算レート種別,外貨通貨とトライアンギュレーション通貨の間の換算レートの種別。たとえば、スポット・レート、先物など。
251,2,Attribute,,Detail_ Multicurrency,Comment,String,,0..1,Comment describing the enclosing multicurrencyDetail class's contents. May include reason for recording additional exchange rates other than that used at the time of the original transaction.,muc,多通貨明細コメント,multicurrencyDetailの内容のコメント。原取引時以外の、追加の換算レートを記録する理由などを記述。
252,1,Abstract Class,,XBRL,,,,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,cor,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。
253,2,Attribute,,XBRL,Allocation,Token,,0..1,"Indicates that the information being given is beginning_balance, ending_balance, period_change.",cor,XBRL割当,"与えられた情報が、期首残高、期末残高、期中増減のいずれであるかを示す。
[設定値のリスト]
(beginning_balance：期首残高)、(ending_balance：期末残高)、(period_change：期中増減)"
254,2,Attribute,,XBRL,Summary Reporting Element,QName,,0..1,Associated XBRL element or XML element within an XML taxonomy - mapping to an XBRL concept.,cor,集約報告エレメント,関係付けられた、XMLタクソノミ中のXBRL要素または、XML要素。XBRLコンセプトへのマッピング。
255,2,Attribute,,XBRL,Detail Matching Element,QName,,0..1,Associated XBRL element in XBRL-GL instance.,cor,明細対応エレメント,関係付けられた、XBRL-GLインスタンス中のXBRL要素。
256,2,Attribute,,XBRL,Summary Tuple Path,String,,0..1,Specific filter for parent class class. This value must be valid XPath. And the result of the XPath must be resolved to a node.,lnk,集約タプルパス,親タグ構造を特定するフィルタ。妥当なXPath記述でなければならない。XPathの結果はノードでなければならない。
257,2,Attribute,,XBRL,Detailed Content Filter,String,,0..1,"Filtering mechanism. This value must be valid XPath. And the result of the XPath must be resolved to boolean. If the resulting value is false, the entry  must not mapped into specified facts in F/S.",lnk,明細コンテントフィルタ,フィルタリング手段。妥当なXPath記述でなければならない。XPathの結果はブール値でなければならない。結果がfalseの場合は、仕訳はF/S内の特定のfactsにマッピングされてはならない。
258,2,Attribute,,XBRL,Reporting Date Selector,Token,,0..1,This holds the concepts in GL data to create FS contexts.  The value must be a list of QName. Each QName must be resolved to GL items. Order of the items defines priority to access.,lnk,報告日付セレクタ,F/Sのコンテキストを生成するためのGLデータの概念を示す。QNameのリストでなければならない。個々のQNameはGL項目を示さなければならない。項目の並びはアクセスの優先度を示す。
259,2,Attribute,,XBRL,Summary Operator,String,,0..1,The operator applied to the amount or quantity when it is rolled up to a summary reporting element.,lnk,,
260,2,Attribute,,XBRL,Summary Unit Numerator,Token,,1..1,This holds the list of measure information for unit numerator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,lnk,集約ユニット分子,集約のユニットの分子の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。
261,2,Attribute,,XBRL,Summary Unit Denominator,Token,,0..1,This holds the list of measure information for unit denominator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,lnk,集約ユニット分母,集約のユニットの分母の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。
262,2,Attribute,,XBRL,Summary Reporting Taxonomy ID Reference,String,,0..1,"Reference to the ID of the relevant target reporting taxonomy, defined in the [summaryReportingTaxonomies] class at [documentInfo] level. Allows consuming applications to identify sets of [xbrlInfo] classs that point to a specific taxonomy.",lnk,集約報告タクソノミ識別子参照情報,関連する報告タクソノミの識別子への参照情報。documentInfo内のsummaryReportingTaxonomiesクラスで定義される。特定のタクソノミを示すxbrlInfoクラスの集合を、アプリケーションが識別できるようにする。
263,1,Class,,Detail_ XBRL,,,,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,cor,【行XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。
264,2,Specialization,,Detail_ XBRL,,,XBRL,1,,cor,,
265,2,Attribute,,Detail_ XBRL,Allocation,Token,,0..1,"Indicates that the information being given is beginning_balance, ending_balance, period_change.",cor,XBRL割当,"与えられた情報が、期首残高、期末残高、期中増減のいずれであるかを示す。
[設定値のリスト]
(beginning_balance：期首残高)、(ending_balance：期末残高)、(period_change：期中増減)"
266,2,Attribute,,Detail_ XBRL,Summary Reporting Element,QName,,0..1,Associated XBRL element or XML element within an XML taxonomy - mapping to an XBRL concept.,cor,集約報告エレメント,関係付けられた、XMLタクソノミ中のXBRL要素または、XML要素。XBRLコンセプトへのマッピング。
267,2,Attribute,,Detail_ XBRL,Detail Matching Element,QName,,0..1,Associated XBRL element in XBRL-GL instance.,cor,明細対応エレメント,関係付けられた、XBRL-GLインスタンス中のXBRL要素。
268,2,Attribute,,Detail_ XBRL,Summary Tuple Path,String,,0..1,Specific filter for parent class class. This value must be valid XPath. And the result of the XPath must be resolved to a node.,lnk,集約タプルパス,親タグ構造を特定するフィルタ。妥当なXPath記述でなければならない。XPathの結果はノードでなければならない。
269,2,Attribute,,Detail_ XBRL,Detailed Content Filter,String,,0..1,"Filtering mechanism. This value must be valid XPath. And the result of the XPath must be resolved to boolean. If the resulting value is false, the entry  must not mapped into specified facts in F/S.",lnk,明細コンテントフィルタ,フィルタリング手段。妥当なXPath記述でなければならない。XPathの結果はブール値でなければならない。結果がfalseの場合は、仕訳はF/S内の特定のfactsにマッピングされてはならない。
