sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,DEN,version
374,2,Composition,,Line_ Trade Delivery,Packing List,,Referenced_ Document,0..1,"The packing list document, at line level, referenced for this trade delivery.",ASBIE,Line_ Trade Delivery. Packing List. Referenced_ Document,January 2017
375,1,Class,,Line_ Trade Settlement,,,,,"The information, at a line level, that enables the reconciliation of a financial transaction with the item(s) that the financial transaction is intended to settle, for example a commercial invoice.",ABIE,Line_ Trade Settlement. Details,January 2017
376,2,Attribute,,Line_ Trade Settlement,Payment Reference,Text,,0..n,"A payment reference, expressed as text, for this line trade settlement.",BBIE,Line_ Trade Settlement. Payment Reference. Text,January 2017
377,2,Attribute,,Line_ Trade Settlement,Total_ Adjustment,Amount,,0..1,The monetary value of the total adjustment for this line trade settlement.,BBIE,Line_ Trade Settlement. Total_ Adjustment. Amount,January 2017
378,2,Attribute,,Line_ Trade Settlement,Discount,Indicator,,0..1,The indication of whether or not a discount applies the item in this line trade settlement.,BBIE,Line_ Trade Settlement. Discount. Indicator,January 2017
379,2,Attribute,,Line_ Trade Settlement,Invoice Issuer_ Reference,Text,,0..1,"The invoice issuer reference, expressed as text, for this line settlement.",BBIE,Line_ Trade Settlement. Invoice Issuer_ Reference. Text,January 2017
380,2,Composition,,Line_ Trade Settlement,Applicable,,Trade_ Tax,0..n,A tax applicable to this line trade settlement.,ASBIE,Line_ Trade Settlement. Applicable. Trade_ Tax,January 2017
381,2,Composition,,Line_ Trade Settlement,Billing,,Specified_ Period,0..1,A billing period specified for this line trade settlement.,ASBIE,Line_ Trade Settlement. Billing. Specified_ Period,January 2017
382,2,Composition,,Line_ Trade Settlement,Specified,,Trade_ Allowance Charge,0..n,An allowance or charge specified for this line trade settlement.,ASBIE,Line_ Trade Settlement. Specified. Trade_ Allowance Charge,January 2017
383,2,Composition,,Line_ Trade Settlement,Subtotal_ Calculated,,Trade_ Tax,0..n,A tax subtotal calculated for this line trade settlement.,ASBIE,Line_ Trade Settlement. Subtotal_ Calculated. Trade_ Tax,January 2017
384,2,Composition,,Line_ Trade Settlement,Specified,,Logistics_ Service Charge,0..n,A logistics service charge specified for this line trade settlement.,ASBIE,Line_ Trade Settlement. Specified. Logistics_ Service Charge,January 2017
385,2,Composition,,Line_ Trade Settlement,Specified,,Trade_ Payment Terms,0..n,Payment terms specified for this line trade settlement.,ASBIE,Line_ Trade Settlement. Specified. Trade_ Payment Terms,January 2017
386,2,Composition,,Line_ Trade Settlement,Specified,,Trade Settlement Line_ Monetary Summation,0..1,The monetary summation totals specified for this line trade settlement.,ASBIE,Line_ Trade Settlement. Specified. Trade Settlement Line_ Monetary Summation,January 2017
387,2,Composition,,Line_ Trade Settlement,Specified,,Financial_ Adjustment,0..n,A financial adjustment specified for this line trade settlement.,ASBIE,Line_ Trade Settlement. Specified. Financial_ Adjustment,January 2017
388,2,Composition,,Line_ Trade Settlement,Invoice,,Referenced_ Document,0..1,The invoice document referenced in this line trade settlement.,ASBIE,Line_ Trade Settlement. Invoice. Referenced_ Document,January 2017
389,2,Composition,,Line_ Trade Settlement,Additional,,Referenced_ Document,0..n,An additional document referenced in this line trade settlement.,ASBIE,Line_ Trade Settlement. Additional. Referenced_ Document,January 2017
390,2,Composition,,Line_ Trade Settlement,Payable_ Specified,,Trade_ Accounting Account,0..n,A payable accounting account specified for this line trade settlement.,ASBIE,Line_ Trade Settlement. Payable_ Specified. Trade_ Accounting Account,January 2017
391,2,Composition,,Line_ Trade Settlement,Receivable_ Specified,,Trade_ Accounting Account,0..n,A receivable accounting account specified for this line trade settlement.,ASBIE,Line_ Trade Settlement. Receivable_ Specified. Trade_ Accounting Account,January 2017
392,2,Composition,,Line_ Trade Settlement,Purchase_ Specified,,Trade_ Accounting Account,0..n,A purchase accounting account specified for this line trade settlement.,ASBIE,Line_ Trade Settlement. Purchase_ Specified. Trade_ Accounting Account,January 2017
393,2,Composition,,Line_ Trade Settlement,Sales_ Specified,,Trade_ Accounting Account,0..n,A sales accounting account specified for this line trade settlement.,ASBIE,Line_ Trade Settlement. Sales_ Specified. Trade_ Accounting Account,January 2017
394,2,Composition,,Line_ Trade Settlement,Specified,,Trade Settlement_ Financial Card,0..1,A financial card specified in this line trade settlement.,ASBIE,Line_ Trade Settlement. Specified. Trade Settlement_ Financial Card,January 2017
395,1,Class,,Logistics_ Location,,,,,A logistics related physical location or place.,ABIE,Logistics_ Location. Details,January 2017
396,2,Attribute,,Logistics_ Location,Identification,Identifier,,0..1,"A unique identifier for this logistics related location, such as a United Nations Location Code (UNLOCODE) or GS1 Global Location Number (GLN).",BBIE,Logistics_ Location. Identification. Identifier,January 2017
397,2,Attribute,,Logistics_ Location,Name,Text,,0..n,"A name, expressed as text, of this logistics related location.",BBIE,Logistics_ Location. Name. Text,January 2017
398,2,Attribute,,Logistics_ Location,Type,Code,,0..1,A code specifying the type of this logistics related location.,BBIE,Logistics_ Location. Type. Code,January 2017
399,2,Attribute,,Logistics_ Location,Description,Text,,0..n,A textual description of this logistics related location.,BBIE,Logistics_ Location. Description. Text,January 2017
400,2,Composition,,Logistics_ Location,Physical,,Geographical Coordinate,0..1,Geographical coordinate information for this logistics related location.,ASBIE,Logistics_ Location. Physical. Geographical Coordinate,January 2017
401,2,Composition,,Logistics_ Location,Postal,,Trade_ Address,0..1,The postal trade address information for this logistics related location.,ASBIE,Logistics_ Location. Postal. Trade_ Address,January 2017
402,1,Class,,Logistics_ Service Charge,,,,,A charge made for a logistics related service.,ABIE,Logistics_ Service Charge. Details,January 2017
403,2,Attribute,,Logistics_ Service Charge,Identification,Identifier,,0..1,The unique identifier for this logistics service charge.,BBIE,Logistics_ Service Charge. Identification. Identifier,January 2017
404,2,Attribute,,Logistics_ Service Charge,Description,Text,,0..n,A textual description of this logistics service charge.,BBIE,Logistics_ Service Charge. Description. Text,January 2017
405,2,Attribute,,Logistics_ Service Charge,Payment Arrangement,Code,,0..1,The code specifying the payment arrangement for this logistics service charge [Reference United Nations Code List (UNCL) 4237].,BBIE,Logistics_ Service Charge. Payment Arrangement. Code,January 2017
406,2,Attribute,,Logistics_ Service Charge,Tariff Class,Code,,0..1,The code specifying the tariff class for this logistics service charge which represents an entry in a table of fixed charges [Reference United Nations Code List (UNCL) 5243].,BBIE,Logistics_ Service Charge. Tariff Class. Code,January 2017
407,2,Attribute,,Logistics_ Service Charge,Charge_ Category,Code,,0..1,The code specifying the category of charge for this logistics service charge.,BBIE,Logistics_ Service Charge. Charge_ Category. Code,January 2017
408,2,Attribute,,Logistics_ Service Charge,Service_ Category,Code,,0..1,The code specifying the category of service for this logistics service charge.,BBIE,Logistics_ Service Charge. Service_ Category. Code,January 2017
409,2,Attribute,,Logistics_ Service Charge,Disbursement,Amount,,0..n,A monetary value of a disbursement for this logistics service charge.,BBIE,Logistics_ Service Charge. Disbursement. Amount,January 2017
410,2,Attribute,,Logistics_ Service Charge,Applied,Amount,,0..n,A monetary value applied to this logistics service charge.,BBIE,Logistics_ Service Charge. Applied. Amount,January 2017
411,2,Attribute,,Logistics_ Service Charge,Allowance Charge,Text,,0..1,"The allowance or charge, expressed as text, for this logistics service charge.",BBIE,Logistics_ Service Charge. Allowance Charge. Text,January 2017
412,2,Attribute,,Logistics_ Service Charge,Paying Party Role,Code,,0..1,The code specifying the role of the party responsible for paying this logistics service charge.,BBIE,Logistics_ Service Charge. Paying Party Role. Code,January 2017
413,2,Attribute,,Logistics_ Service Charge,Calculation Basis,Code,,0..1,"The code specifying a basis on which this logistics service charge is to be calculated, such as by volume or per unit.",BBIE,Logistics_ Service Charge. Calculation Basis. Code,January 2017
414,2,Attribute,,Logistics_ Service Charge,Calculation Basis,Text,,0..1,"The basis, expressed as text, on which this logistics service charge is to be calculated, such as by volume or per unit.",BBIE,Logistics_ Service Charge. Calculation Basis. Text,January 2017
415,2,Attribute,,Logistics_ Service Charge,Transport Payment Method,Code,,0..1,The code specifying the transport payment method for this logistics service charge.,BBIE,Logistics_ Service Charge. Transport Payment Method. Code,January 2017
416,2,Composition,,Logistics_ Service Charge,Payment Place,,Logistics_ Location,0..1,The location of the place of payment of this logistics service charge.,ASBIE,Logistics_ Service Charge. Payment Place. Logistics_ Location,January 2017
417,2,Composition,,Logistics_ Service Charge,Applied From,,Logistics_ Location,0..1,The start location from which this logistics service charge should be applied.,ASBIE,Logistics_ Service Charge. Applied From. Logistics_ Location,January 2017
418,2,Composition,,Logistics_ Service Charge,Applied To,,Logistics_ Location,0..1,The end location at which this logistics service charge is no longer to be applied.,ASBIE,Logistics_ Service Charge. Applied To. Logistics_ Location,January 2017
419,2,Composition,,Logistics_ Service Charge,Applied,,Trade_ Tax,0..n,A tax that is applied to this logistics service charge.,ASBIE,Logistics_ Service Charge. Applied. Trade_ Tax,January 2017
420,1,Class,,Logistics_ Transport Equipment,,,,,"A piece of equipment used to hold, protect or secure cargo for logistics purposes.",ABIE,Logistics_ Transport Equipment. Details,January 2017
421,2,Attribute,,Logistics_ Transport Equipment,Identification,Identifier,,0..1,The unique identifier of this piece of logistics transport equipment.,BBIE,Logistics_ Transport Equipment. Identification. Identifier,January 2017
422,2,Attribute,,Logistics_ Transport Equipment,Loading Length,Measure,,0..1,The measure of the loading length of this piece of logistics transport equipment.,BBIE,Logistics_ Transport Equipment. Loading Length. Measure,January 2017
423,2,Attribute,,Logistics_ Transport Equipment,Category,Code,,0..1,"The code specifying the category for this piece of logistics transport equipment, such as container or trailer.",BBIE,Logistics_ Transport Equipment. Category. Code,January 2017
424,2,Attribute,,Logistics_ Transport Equipment,Characteristic,Code,,0..1,"The code specifying the characteristic or characteristics of this piece of logistics transport equipment, such as the ISO 6346 transport equipment size and type code.",BBIE,Logistics_ Transport Equipment. Characteristic. Code,January 2017
425,2,Attribute,,Logistics_ Transport Equipment,Used Capacity,Code,,0..1,"The code specifying the used capacity of this piece of logistics transport equipment, such as full or empty.",BBIE,Logistics_ Transport Equipment. Used Capacity. Code,January 2017
426,2,Composition,,Logistics_ Transport Equipment,Linear,,Spatial_ Dimension,0..1,The linear spatial dimensions of this piece of logistics transport equipment.,ASBIE,Logistics_ Transport Equipment. Linear. Spatial_ Dimension,January 2017
427,1,Class,,Logistics_ Transport Means,,,,,The devices used to convey goods or other objects from place to place during logistics cargo movements.,ABIE,Logistics_ Transport Means. Details,January 2017
428,2,Attribute,,Logistics_ Transport Means,Type,Code,,0..1,The code specifying the type of logistics means of transport (Reference UNECE Recommendation 28).,BBIE,Logistics_ Transport Means. Type. Code,January 2017
429,2,Attribute,,Logistics_ Transport Means,Type,Text,,0..1,"The type, expressed as text, of this logistics means of transport.",BBIE,Logistics_ Transport Means. Type. Text,January 2017
430,2,Attribute,,Logistics_ Transport Means,Identification,Identifier,,0..1,"An identifier of this logistics means of transport, such as the International Maritime Organization number of a vessel.",BBIE,Logistics_ Transport Means. Identification. Identifier,January 2017
431,2,Attribute,,Logistics_ Transport Means,Name,Text,,0..1,"The name, expressed as text, of this logistics means of transport.",BBIE,Logistics_ Transport Means. Name. Text,January 2017
432,2,Composition,,Logistics_ Transport Means,Owner,,Trade_ Party,0..1,The party owning this logistics means of transport.,ASBIE,Logistics_ Transport Means. Owner. Trade_ Party,January 2017
433,1,Class,,Logistics_ Transport Movement,,,,,The conveyance (physical carriage) of goods or other objects used for logistics transport purposes.,ABIE,Logistics_ Transport Movement. Details,January 2017
434,2,Attribute,,Logistics_ Transport Movement,Stage,Code,,0..1,The code specifying the stage of this logistics transport movement.,BBIE,Logistics_ Transport Movement. Stage. Code,January 2017
435,2,Attribute,,Logistics_ Transport Movement,Mode,Code,,0..1,"The code specifying the mode, such as by air, sea, rail, road or inland waterway, for this logistics transport movement.",BBIE,Logistics_ Transport Movement. Mode. Code,January 2017
